Combination,Optimized_b,Optimized_Objective,Optimized_Returns,Minimum_Variance
"('SUN', 'GPT', 'CPU', 'STO', 'CSL', 'GNC')","[0.26972518632, 0.1, 0.29446459381, 0.1, 0.10507111249, 0.13073912736]",7.162192840079884,0.0005838237105618807,8.151465949014701e-05
"('SUN', 'GPT', 'CPU', 'STO', 'CSL', 'WOW')","[0.29194233474, 0.1, 0.30805770309, 0.1, 0.1, 0.1]",6.566162467291965,0.000511754559214518,7.793815059613918e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'SHL', 'TWE')","[0.205618568, 0.1, 0.24439718602, 0.24998427439, 0.1, 0.1]",8.070944316526658,0.0006420294594335205,7.954824544122475e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'SHL', 'GNC')","[0.20863162001, 0.1, 0.25370702038, 0.2376613893, 0.1, 0.1]",8.280480057709374,0.0006801256766416947,8.213602012222436e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'SHL', 'WOW')","[0.20121854738, 0.10000001663, 0.24603905743, 0.252742319, 0.10000001, 0.10000004956]",7.950840563035193,0.0006078487814085294,7.645088297135796e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'FPH', 'TWE')","[0.21597975969, 0.10000002622, 0.23740070537, 0.24661916232, 0.1000000197, 0.10000032671]",8.264106046203523,0.0006409650465183152,7.756011877567453e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'FPH', 'GNC')","[0.21902679128, 0.1, 0.24670284226, 0.23427039644, 0.1, 0.1]",8.487682007250852,0.0006790492893253328,8.000409166427712e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'FPH', 'WOW')","[0.21148584664, 0.1, 0.23906450748, 0.24944967294, 0.1, 0.1]",8.128633622258793,0.0006068187284650795,7.46519964688058e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'CSL', 'TWE')","[0.21142684049, 0.1, 0.24134187714, 0.24723129675, 0.1, 0.10000000106]",8.621810124752114,0.0006754152361303894,7.833798545288751e-05
"('SUN', 'GPT', 'CPU', 'VEA', 'CSL', 'GNC')","[0.21415594249, 0.1, 0.25071736724, 0.23512660067, 0.10000009206, 0.10000000751]",8.82711462692992,0.000713614004985151,8.084340525136545e-05
